nombre,codigo_sku,codigo_barras,categoria,sucursal,stock_sucursal,stock_minimo,unidad_medida,factor_to_base,precio_menudeo,precio_medio_mayoreo,precio_mayoreo,activo
Jumex Arandano 1L,PRO-235240,7501013106893,null,VINOS - Principal,60,10,Pieza,1.0000,40.41,38.80,37.18,true
Jumex arandano tetra 475 ml,PRO-621155,7501013104455,Jugos,VINOS - Principal,60,10,Pieza,1.0000,23.38,22.99,22.03,true
jumex bida FRESA 237ml,PRO-331945,7501013106824,Jugos,VINOS - Principal,24,10,Pieza,1.0000,9.11,8.75,8.38,true
jumex bida FRESA 500ml,PRO-872910,7501013191219,Jugos,VINOS - Principal,12,10,Pieza,1.0000,15.31,14.70,14.09,true
jumex bida GUAYABA 237ml,PRO-011468,7501013106800,Jugos,VINOS - Principal,24,0,Pieza,1.0000,9.11,8.75,8.38,true
jumex bida GUAYABA 500ml,PRO-772607,7501013191066,Jugos,VINOS - Principal,12,10,Pieza,1.0000,15.31,14.70,14.09,true
jumex bida MANGO 500ml,PRO-972715,7501013191035,Jugos,VINOS - Principal,12,10,Pieza,1.0000,15.31,14.70,14.09,true
jumex bida MANZANA 237ml,PRO-571696,7501013106831,Jugos,VINOS - Principal,48,10,Pieza,1.0000,9.11,8.75,8.38,true
jumex bida MANZANA 500ml,PRO-126761,7501013191028,Jugos,VINOS - Principal,24,10,Pieza,1.0000,15.31,14.70,14.09,true
Jumex Botellon Durazno 413 ml,PRO-161513,7501013105537,Jugos,VINOS - Principal,96,10,Pieza,1.0000,17.50,16.80,16.10,true
