legacy_id,branch_legacy_id,supplier_legacy_id,reference,purchase_date,total,notes,created_by,created_at,deleted_at,delete_note,is_credit
542,branch:default,57,entrada:542,2026-08-01,58380,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-01 00:00:00,,,true
543,branch:default,52,entrada:543,2026-08-03,933.32,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-03 00:00:00,,,true
544,branch:default,52,entrada:544,2026-08-03,1399.98,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-03 00:00:00,,,true
545,branch:default,52,entrada:545,2026-08-03,933.32,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-03 00:00:00,,,true
546,branch:default,47,entrada:546,2026-08-03,11500,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-03 00:00:00,,,true
547,branch:default,51,entrada:547,2026-08-03,1465,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-03 00:00:00,,,true
548,branch:default,47,entrada:548,2026-08-03,9000,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-03 00:00:00,,,true
549,branch:default,29,entrada:549,2026-08-05,9180,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-05 00:00:00,,,true
550,branch:default,52,entrada:550,2026-08-05,21900,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-05 00:00:00,,,true
551,branch:default,52,entrada:551,2026-08-05,849.99,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-05 00:00:00,,,true
552,branch:default,36,entrada:552,2026-08-05,38178.85,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-05 00:00:00,,,true
553,branch:default,60,entrada:553,2026-08-05,2520,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-05 00:00:00,,,true
554,branch:default,29,entrada:554,2026-08-06,73480,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-06 00:00:00,,,true
555,branch:default,52,entrada:555,2026-08-06,9125,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-06 00:00:00,,,true
556,branch:default,29,entrada:556,2026-08-11,26050,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-11 00:00:00,,,true
557,branch:default,52,entrada:557,2026-08-12,16425,Usuario origen: ALONDRA26 | Liquidado origen: 0 | Credito abonado origen: 0 | Dias credito origen: 30 | Status origen: 1,,2026-08-12 00:00:00,,,true
